STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/1,8.5,,0,0,0,,41,34,,270,260,17,29.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/2,5.37,,0,0,0,,49,33,,230,220,13,21.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/3,3.36,,0.15,0,0,,49,44,,250,230,10.1,15,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/4,4.47,,0.27,0,0,,51,41,,300,330,15,23.9,1,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/5,11.41,,0,0,0,,42,35,,300,300,25.1,42.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/6,6.04,,0.04,0.2,0,,45,32,,250,230,16.1,23,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/7,5.14,,0,0,0,,45,36,,230,240,16.1,27.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/8,9.62,,0,0,0,,42,28,,270,280,21,35.1,,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/9,4.47,,0,0,0,,34,23,,300,290,17,25.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/10,6.26,,0,0,0,,55,33,,240,220,14.1,25.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/11,5.37,,0,0,0,,69,51,,230,210,15,29.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/12,8.72,,0.05,0,0,,68,43,,260,240,21.9,34,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/13,4.47,,0,0,0,,46,37,,50,70,14.1,18.1,,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/14,3.8,,0.07,0,0,,46,39,,140,140,12.1,14.1,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/15,5.14,,0,0,0,,50,41,,270,270,13,19.9,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/1/16,10.29,,0.11,0,0,,49,33,,290,270,21.9,40,1,,,,,,1
